uuid,created_at,created_longitude,created_latitude,modified_at,modified_longitude,modified_latitude,accessed_at,content,tags,folder,flagged,languageGrammar
"1A892B16-4A73-4725-9CF8-CBAF1185D064",2026-08-23T02:56:43Z,0.0,0.0,2026-08-23T03:22:02Z,0.0,0.0,2026-08-23T02:56:43Z,"The odyssey had a lot of stuff I wanted to talk about, but I plan on saving it for when I'm rested tomorrow. Among the experience, there was an extraneous amount of pride when discussing it with Joey. Also:
- There's a message of surrender, but it confuses me. How is Odysseus any different from the men he leads? Are they already surrendered to their fate or are they just as defiant?
- He defys the God's as if he sees himself as one, until he submits to them and becomes a conduit for them. But who among the suitors is not also an individual? Again are they already surrendered to their fate?
- Even Penelope's surrender gives her exactly as she wants.
- It hit me differently how after surrendering, he became a beggar. Lost it all and still was held by the relationships and skills he had
- Why did the Gods choose him?

I need that gap back. Because right now, everything feels too impulsive.
","",0,false,Markdown
"20C15165-EEE9-49EB-B062-DB22F506CE6C",2026-08-22T16:02:54Z,0.0,0.0,2026-08-22T16:56:01Z,0.0,0.0,2026-08-22T16:02:54Z,"It is interesting playing chess against lower bots with the added challenge of like...curious playing. Not doing an opening so much as just ""what if I start here."" Because then the tactics start and you can kinda just do what ever, and it begins to grow your wisdom in new ways. Like if I off the bat play h4, the rook gets an opening off the bat and is safe unless ..d6 is played. You get more tempo in these games to play around with pawn formations 

Hollow
No one stops to ask
How killing all this time
Is affecting eternity

Content
And I look for the click click click
Take a look at the metric
From when I confused content with content-ment

All eyes on me
All your eyes on me
I NEED all your eyes on me
All their eyes are on me [sadly]
[The snare is doing sextuplets all the meanwhile, no bass part. It's a tension build up]","",0,false,Markdown
"DD975363-6F3E-449A-B8F5-EBA42163E58E",2026-08-22T13:11:48Z,0.0,0.0,2026-08-22T13:12:02Z,0.0,0.0,2026-08-22T13:11:48Z,"It's not a social battery, it's a social muscle, and mines been exhausted ","",0,false,Markdown
"228D40CF-9AC7-410D-B22D-F113A5799EED",2026-08-22T11:36:02Z,0.0,0.0,2026-08-22T12:29:14Z,0.0,0.0,2026-08-22T11:36:02Z,"Follow-up to yesterdays video:
- the struggle with socializing now is that I've gained confidence in the face of friends, but not with strangers. The latter is driving me crazy trying and everything (run clubs, jazz jams, new jobs, emailing venues) are all exposing such weakness. It's great that this may one day be a strength, but 6 months in and it still feels like im jumping in a cold shower every day.
- Everything I'm seeing with Atticus and family is revealing something about me I can't yet see
- I worry now more than ever about growing as a drummer and musician, because how am I to achieve anything without striving? I feel like ive lost control of a ship. Even if I practice every day, what difference is it making? Especially when someone like Atticus is growing more
- I feel unmotivated to show up to community events because (1) attraction isn't motivating me rn, at least not nearly as much, and (2) I've faced ""defeat"" so many times at the run club that I feel hopeless to gain anything. Maybe that wording is the issue. The interesting part in all these scenarios is it feels like I'm the one isolating ","",0,false,Markdown
"FA09ED31-89C8-4719-BAE9-208DA6B825EC",2026-08-21T21:10:18Z,0.0,0.0,2026-08-21T21:11:44Z,0.0,0.0,2026-08-21T21:10:18Z,"Building a social atmosphere at this studio is going to be a whole different beast. Lots of courage required to get people out of their comfort zone. Or to get me out of mine I should say","",0,false,Markdown
"FFB23F96-940C-4F43-AE94-F111DC3D7B82",2026-08-21T18:59:27Z,0.0,0.0,2026-08-21T19:00:52Z,0.0,0.0,2026-08-21T20:56:03Z,"The secret to going deep: listen to ALOT. As much new shit as possible. Then go back and study the ones that stick with you. Trust yourself to recognize these. Too much of school was dedicated to forcing someone else's musical perspective onto you by means of studying the things they enjoyed. That's not how true growth actually works.","",0,false,Markdown
"7EFB768E-71FE-40E1-9A4A-BC6586D7C3E6",2026-08-21T17:26:24Z,0.0,0.0,2026-08-21T17:27:01Z,0.0,0.0,2026-08-21T17:26:24Z,"There's such a paradox in trying to help others without thinking of their thoughts. Being generous feels painful in this way.","",0,false,Markdown
"F44326BE-1AD4-4601-A2E5-EC4E571AD135",2026-08-21T15:05:23Z,0.0,0.0,2026-08-21T15:35:15Z,0.0,0.0,2026-08-21T15:05:23Z,"What I see more is that idea of ""show don't tell."" Like you can't force anyone to act a certain way. Even coaching hardly works. The concept that's helped the most at work has truly been just being the best version of myself. More people have followed from that than any other measure

A lot of mental rumblings that I'm struggling to articulate 

1. The goal of getting out of debt makes having two jobs actually feel tolerable. But at the same time, I'm genuinely enjoying them (for the most part) as being flow experiences that connect me with others
2. The difficulty of being with new communities is forcing me out of my comfort zone to socialize more, and pointing out where I struggle with such a thing
3. Having this more structured routine is actually making me have more time, instead of less, which is counter to how I once believed the world worked
4. I've become prideful on the health that my habits grant me and skeptical of the views of those around me. I care deeply about the health of my parents, but I struggle to let go of the idea that I have any say over their decisions. Some part of me believes if I could bestow upon them my beliefs, my dedication to expansion, my ability to learn, or my dedication to health, that they'd live happier lives. But it assumes (1) they're unhappy or (2) my life is somehow better than theirs for it. I wish to give them the wisdom I've gained from observing myself, and it pains me that I can't. It frequently pains me the way they scarf down processed, fatty, and hollow foods (along with alcohol) and then act disappointed with their weight or lifestyle. To me it is obvious, but I can't communicate it. And even if I could, I'm doubtful they'd listen. I don't even think they're paying attention, but instead stuck in a state of wanting to change but being unwilling to take the leap. And I think I feel guilty for even thinking about them in this way, but I genuinely care and wish to see them live longer and happier lives. The same can be said of my coworkers. Or really anyone I see making excuses to justify the state they're in. I'm obviously included as someone who makes excuses, especially socially. I digress.","",0,false,Markdown
"A36FA3C6-FFFA-4F65-B44C-372E7F5DD303",2026-08-21T14:46:45Z,0.0,0.0,2026-08-21T15:05:01Z,0.0,0.0,2026-08-21T14:46:45Z,"#ideas for better acquainting with jazz, just listen to a new album every day. A real listen, not half ass. Figure out who is on the album too. That's how you build a rep 

","",0,false,Markdown
"1A35E061-FF44-4724-B0ED-915AED14205B",2026-08-21T11:01:26Z,0.0,0.0,2026-08-21T11:03:37Z,0.0,0.0,2026-08-21T15:05:03Z,"#evidence
- Russ said it's hard to look at Zach and not smile
- McKenzie said that when she heard I was teaching children music, it checks out

The solution to pride is letting go. The frustration that I'm not acting as I once did is only a measure of friction, and the only way to return to that level of flow with others is to let go, talk less, listen more, and be present. Stop seeing yourself and your life as objectively better and stop trying to prove so to others. That's not teaching, it's forcing
","",0,false,Markdown
